,Unnamed: 0,filepaths,pipelines,groups,contrast
97,97,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,103,right-foot
108,108,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_right-foot_spm-5-0-0_con.nii,spm-5-0-0,103,right-foot
109,109,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-103_right-foot_spm-5-0-1_con.nii,spm-5-0-1,103,right-foot
120,120,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,104,right-foot
121,121,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,104,right-foot
132,132,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_right-foot_spm-5-0-0_con.nii,spm-5-0-0,104,right-foot
133,133,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-104_right-foot_spm-5-0-1_con.nii,spm-5-0-1,104,right-foot
144,144,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-105_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,105,right-foot
145,145,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-105_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,105,right-foot
156,156,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-105_right-foot_spm-5-0-0_con.nii,spm-5-0-0,105,right-foot
157,157,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-105_right-foot_spm-5-0-1_con.nii,spm-5-0-1,105,right-foot
168,168,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-106_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,106,right-foot
169,169,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-106_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,106,right-foot
180,180,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-106_right-foot_spm-5-0-0_con.nii,spm-5-0-0,106,right-foot
181,181,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-106_right-foot_spm-5-0-1_con.nii,spm-5-0-1,106,right-foot
192,192,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-107_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,107,right-foot
193,193,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-107_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,107,right-foot
204,204,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-107_right-foot_spm-5-0-0_con.nii,spm-5-0-0,107,right-foot
205,205,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-107_right-foot_spm-5-0-1_con.nii,spm-5-0-1,107,right-foot
216,216,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-108_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,108,right-foot
217,217,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-108_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,108,right-foot
228,228,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-108_right-foot_spm-5-0-0_con.nii,spm-5-0-0,108,right-foot
229,229,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-108_right-foot_spm-5-0-1_con.nii,spm-5-0-1,108,right-foot
240,240,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-109_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,109,right-foot
241,241,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-109_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,109,right-foot
252,252,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-109_right-foot_spm-5-0-0_con.nii,spm-5-0-0,109,right-foot
253,253,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-109_right-foot_spm-5-0-1_con.nii,spm-5-0-1,109,right-foot
264,264,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-10_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,10,right-foot
265,265,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-10_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,10,right-foot
276,276,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-10_right-foot_spm-5-0-0_con.nii,spm-5-0-0,10,right-foot
277,277,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-10_right-foot_spm-5-0-1_con.nii,spm-5-0-1,10,right-foot
288,312,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-111_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,111,right-foot
289,313,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-111_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,111,right-foot
300,324,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-111_right-foot_spm-5-0-0_con.nii,spm-5-0-0,111,right-foot
301,325,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-111_right-foot_spm-5-0-1_con.nii,spm-5-0-1,111,right-foot
312,408,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-115_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,115,right-foot
313,409,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-115_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,115,right-foot
324,420,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-115_right-foot_spm-5-0-0_con.nii,spm-5-0-0,115,right-foot
325,421,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-115_right-foot_spm-5-0-1_con.nii,spm-5-0-1,115,right-foot
336,432,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-116_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,116,right-foot
337,433,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-116_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,116,right-foot
348,444,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-116_right-foot_spm-5-0-0_con.nii,spm-5-0-0,116,right-foot
349,445,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-116_right-foot_spm-5-0-1_con.nii,spm-5-0-1,116,right-foot
360,456,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-117_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,117,right-foot
361,457,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-117_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,117,right-foot
372,468,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-117_right-foot_spm-5-0-0_con.nii,spm-5-0-0,117,right-foot
373,469,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-117_right-foot_spm-5-0-1_con.nii,spm-5-0-1,117,right-foot
384,528,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-11_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,11,right-foot
385,529,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-11_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,11,right-foot
396,540,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-11_right-foot_spm-5-0-0_con.nii,spm-5-0-0,11,right-foot
397,541,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-11_right-foot_spm-5-0-1_con.nii,spm-5-0-1,11,right-foot
408,552,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-120_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,120,right-foot
409,553,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-120_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,120,right-foot
420,564,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-120_right-foot_spm-5-0-0_con.nii,spm-5-0-0,120,right-foot
421,565,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-120_right-foot_spm-5-0-1_con.nii,spm-5-0-1,120,right-foot
432,576,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-121_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,121,right-foot
433,577,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-121_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,121,right-foot
444,588,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-121_right-foot_spm-5-0-0_con.nii,spm-5-0-0,121,right-foot
445,589,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-121_right-foot_spm-5-0-1_con.nii,spm-5-0-1,121,right-foot
456,624,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-123_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,123,right-foot
457,625,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-123_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,123,right-foot
468,636,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-123_right-foot_spm-5-0-0_con.nii,spm-5-0-0,123,right-foot
469,637,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-123_right-foot_spm-5-0-1_con.nii,spm-5-0-1,123,right-foot
480,648,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-124_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,124,right-foot
481,649,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-124_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,124,right-foot
492,660,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-124_right-foot_spm-5-0-0_con.nii,spm-5-0-0,124,right-foot
493,661,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-124_right-foot_spm-5-0-1_con.nii,spm-5-0-1,124,right-foot
504,672,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-125_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,125,right-foot
505,673,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-125_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,125,right-foot
516,684,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-125_right-foot_spm-5-0-0_con.nii,spm-5-0-0,125,right-foot
517,685,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-125_right-foot_spm-5-0-1_con.nii,spm-5-0-1,125,right-foot
528,696,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-126_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,126,right-foot
529,697,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-126_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,126,right-foot
540,708,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-126_right-foot_spm-5-0-0_con.nii,spm-5-0-0,126,right-foot
541,709,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-126_right-foot_spm-5-0-1_con.nii,spm-5-0-1,126,right-foot
552,720,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-127_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,127,right-foot
553,721,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-127_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,127,right-foot
564,732,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-127_right-foot_spm-5-0-0_con.nii,spm-5-0-0,127,right-foot
565,733,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-127_right-foot_spm-5-0-1_con.nii,spm-5-0-1,127,right-foot
576,816,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-130_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,130,right-foot
577,817,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-130_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,130,right-foot
588,828,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-130_right-foot_spm-5-0-0_con.nii,spm-5-0-0,130,right-foot
589,829,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-130_right-foot_spm-5-0-1_con.nii,spm-5-0-1,130,right-foot
600,840,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-131_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,131,right-foot
601,841,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-131_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,131,right-foot
612,852,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-131_right-foot_spm-5-0-0_con.nii,spm-5-0-0,131,right-foot
613,853,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-131_right-foot_spm-5-0-1_con.nii,spm-5-0-1,131,right-foot
624,864,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-132_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,132,right-foot
625,865,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-132_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,132,right-foot
636,876,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-132_right-foot_spm-5-0-0_con.nii,spm-5-0-0,132,right-foot
637,877,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-132_right-foot_spm-5-0-1_con.nii,spm-5-0-1,132,right-foot
648,888,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-133_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,133,right-foot
649,889,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-133_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,133,right-foot
660,900,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-133_right-foot_spm-5-0-0_con.nii,spm-5-0-0,133,right-foot
661,901,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-133_right-foot_spm-5-0-1_con.nii,spm-5-0-1,133,right-foot
672,912,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-134_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,134,right-foot
673,913,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-134_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,134,right-foot
684,924,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-134_right-foot_spm-5-0-0_con.nii,spm-5-0-0,134,right-foot
685,925,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-134_right-foot_spm-5-0-1_con.nii,spm-5-0-1,134,right-foot
696,984,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-137_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,137,right-foot
697,985,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-137_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,137,right-foot
708,996,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-137_right-foot_spm-5-0-0_con.nii,spm-5-0-0,137,right-foot
709,997,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-137_right-foot_spm-5-0-1_con.nii,spm-5-0-1,137,right-foot
720,1008,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-138_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,138,right-foot
721,1009,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-138_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,138,right-foot
732,1020,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-138_right-foot_spm-5-0-0_con.nii,spm-5-0-0,138,right-foot
733,1021,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-138_right-foot_spm-5-0-1_con.nii,spm-5-0-1,138,right-foot
744,1032,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-139_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,139,right-foot
745,1033,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-139_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,139,right-foot
756,1044,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-139_right-foot_spm-5-0-0_con.nii,spm-5-0-0,139,right-foot
757,1045,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-139_right-foot_spm-5-0-1_con.nii,spm-5-0-1,139,right-foot
768,1056,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-13_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,13,right-foot
769,1057,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-13_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,13,right-foot
780,1068,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-13_right-foot_spm-5-0-0_con.nii,spm-5-0-0,13,right-foot
781,1069,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-13_right-foot_spm-5-0-1_con.nii,spm-5-0-1,13,right-foot
792,1080,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-140_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,140,right-foot
793,1081,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-140_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,140,right-foot
804,1092,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-140_right-foot_spm-5-0-0_con.nii,spm-5-0-0,140,right-foot
805,1093,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-140_right-foot_spm-5-0-1_con.nii,spm-5-0-1,140,right-foot
816,1104,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-141_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,141,right-foot
817,1105,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-141_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,141,right-foot
828,1116,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-141_right-foot_spm-5-0-0_con.nii,spm-5-0-0,141,right-foot
829,1117,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-141_right-foot_spm-5-0-1_con.nii,spm-5-0-1,141,right-foot
840,1128,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-142_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,142,right-foot
841,1129,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-142_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,142,right-foot
852,1140,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-142_right-foot_spm-5-0-0_con.nii,spm-5-0-0,142,right-foot
853,1141,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-142_right-foot_spm-5-0-1_con.nii,spm-5-0-1,142,right-foot
864,1152,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-143_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,143,right-foot
865,1153,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-143_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,143,right-foot
876,1164,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-143_right-foot_spm-5-0-0_con.nii,spm-5-0-0,143,right-foot
877,1165,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-143_right-foot_spm-5-0-1_con.nii,spm-5-0-1,143,right-foot
888,1176,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-144_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,144,right-foot
889,1177,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-144_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,144,right-foot
900,1188,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-144_right-foot_spm-5-0-0_con.nii,spm-5-0-0,144,right-foot
901,1189,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-144_right-foot_spm-5-0-1_con.nii,spm-5-0-1,144,right-foot
912,1224,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-146_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,146,right-foot
913,1225,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-146_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,146,right-foot
924,1236,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-146_right-foot_spm-5-0-0_con.nii,spm-5-0-0,146,right-foot
925,1237,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-146_right-foot_spm-5-0-1_con.nii,spm-5-0-1,146,right-foot
936,1248,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-147_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,147,right-foot
937,1249,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-147_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,147,right-foot
948,1260,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-147_right-foot_spm-5-0-0_con.nii,spm-5-0-0,147,right-foot
949,1261,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-147_right-foot_spm-5-0-1_con.nii,spm-5-0-1,147,right-foot
960,1296,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-149_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,149,right-foot
961,1297,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-149_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,149,right-foot
972,1308,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-149_right-foot_spm-5-0-0_con.nii,spm-5-0-0,149,right-foot
973,1309,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-149_right-foot_spm-5-0-1_con.nii,spm-5-0-1,149,right-foot
984,1344,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-150_right-foot_fsl-5-0-0_con.nii,fsl-5-0-0,150,right-foot
985,1345,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-150_right-foot_fsl-5-0-1_con.nii,fsl-5-0-1,150,right-foot
996,1356,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-150_right-foot_spm-5-0-0_con.nii,spm-5-0-0,150,right-foot
